voxel_index,fiber_index,true_n_fibers,est_n_fibers,true_theta,true_phi,true_v,est_theta_matched,est_phi_matched,est_v_matched,acc,true_angular_separation,est_angular_separation,vol_frac,method,experiment
11,1.0,2.0,2.0,2.0341833,3.1415927,0.5,1.1075117197705793,4.8151330137495575e-05,0.499939563865486,0.9999999137592452,1.570796288676849,1.5706069328704328,0.5,fod2fixel,angle
12,0.0,2.0,2.0,1.9302819,2.1374621,0.5,1.9304869902671944,2.137380083653147,0.4999134861833931,0.9999996642057616,1.5707963600534507,1.5705100265136345,0.5,fod2fixel,angle
12,1.0,2.0,2.0,0.6107763,3.1415927,0.5,2.531065473205992,-0.0001836844915585,0.5000865138166068,0.9999994878304912,1.5707963600534507,1.5705100265136345,0.5,fod2fixel,angle
13,0.0,2.0,2.0,1.0845103,5.78827,0.5,2.0571073607741845,2.6466842720688266,0.4997218897359078,0.9999999953505708,1.5707963122773319,1.5707015450914548,0.5,fod2fixel,angle
13,1.0,2.0,2.0,0.5409387,3.1415927,0.5,2.600748996039054,-6.583426071039077e-05,0.5002781102640921,0.9999999287363242,1.5707963122773319,1.5707015450914548,0.5,fod2fixel,angle
14,0.0,2.0,2.0,0.85154897,2.3545568,0.5,0.8515639946655347,2.3547230984271588,0.500152139778795,0.9999998888552822,1.5707962948303398,1.57088449951805,0.5,fod2fixel,angle
14,1.0,2.0,2.0,2.2492568,3.1415927,0.5,0.892346108466369,4.994198850953625e-06,0.4998478602212049,0.9999999991546152,1.5707962948303398,1.57088449951805,0.5,fod2fixel,angle
15,0.0,2.0,2.0,1.6585622,4.5052238,0.5,1.4831938110487186,1.363582097927298,0.4999442569198564,0.9999997965606005,1.5707963199273052,1.5713524480649854,0.5,fod2fixel,angle
15,1.0,2.0,2.0,0.40423664,3.1415927,0.5,0.4042066043125203,-3.1405668600038457,0.5000557430801437,0.9999988544861456,1.5707963199273052,1.5713524480649854,0.5,fod2fixel,angle
16,0.0,2.0,2.0,1.7762837,4.928862,0.5,1.3652308867965297,1.7872782636170692,0.4997286556744449,0.9999999568616847,1.5707962518902252,1.5706880655165683,0.5,fod2fixel,angle
16,1.0,2.0,2.0,2.3712142,3.1415927,0.5,0.7704578603379553,0.000120434238717,0.5002713443255551,0.999999906742762,1.5707962518902252,1.5706880655165683,0.5,fod2fixel,angle
17,0.0,2.0,2.0,1.5500115,4.7207704,0.5,1.5918330733993384,1.579396494087124,0.4999857083930563,0.9999992207671944,1.5707961776303536,1.570961618722195,0.5,fod2fixel,angle
17,1.0,2.0,2.0,1.1875432,3.1415927,0.5,1.9538464736275805,-5.627435757010072e-05,0.5000142916069438,0.999999692333804,1.5707961776303536,1.570961618722195,0.5,fod2fixel,angle
18,0.0,2.0,2.0,2.8838737,3.5924664,0.5,0.2576551960178174,0.4502248363289649,0.4998745282785727,0.9999997801391044,1.5707962077368132,1.570574277588757,0.5,fod2fixel,angle
18,1.0,2.0,2.0,1.3378627,3.1415927,0.5,1.8035027544801892,-0.0001499222627071,0.5001254717214272,0.9999994896244444,1.5707962077368132,1.570574277588757,0.5,fod2fixel,angle
19,0.0,2.0,2.0,2.1078665,5.01635,0.5,1.033734598184927,1.874856625018459,0.4999193802061419,0.9999999483501854,1.5707962847154304,1.5707348334338207,0.5,fod2fixel,angle
19,1.0,2.0,2.0,2.0365577,3.1415927,0.5,1.1049918500902178,0.0001555492576353,0.5000806197938581,0.9999998519256976,1.5707962847154304,1.5707348334338207,0.5,fod2fixel,angle
20,0.0,2.0,2.0,0.94571435,2.1128669,0.5,0.9457739526252268,2.1128777355743384,0.5003622251743012,0.9999999745938412,1.5707963891518553,1.570830980768216,0.5,fod2fixel,angle
20,1.0,2.0,2.0,2.1914823,3.1415927,0.5,0.9501719760409604,0.0001035218938368,0.4996377748256988,0.9999999238528188,1.5707963891518553,1.570830980768216,0.5,fod2fixel,angle
21,0.0,2.0,2.0,1.4770871,4.7107983,0.5,1.6644784302065911,1.5693133742375054,0.4997558306577151,0.999999914285056,1.5707964183936318,1.5710463016475726,0.5,fod2fixel,angle
21,1.0,2.0,2.0,1.5877211,3.1415927,0.5,1.5541968496040797,-0.0001742800712624,0.5002441693422849,0.9999990464666711,1.5707964183936318,1.5710463016475726,0.5,fod2fixel,angle
22,0.0,2.0,2.0,0.30876502,5.0100827,0.5,0.3087762770024609,-1.2733737463254002,0.5001833167345047,0.9999999515824513,1.5707963162265932,1.5708945037675586,0.5,fod2fixel,angle
22,1.0,2.0,2.0,1.4775099,3.1415927,0.5,1.6640615236251295,0.0001504030262901,0.4998166832654954,0.9999998400406354,1.5707963162265932,1.5708945037675586,0.5,fod2fixel,angle
23,0.0,2.0,2.0,1.1691964,2.2237265,0.5,1.1691691833803022,2.2236831603594447,0.4998714812763688,0.9999999836824622,1.570796382427865,1.5705345945279918,0.5,fod2fixel,angle
23,1.0,2.0,2.0,2.531509,3.1415927,0.5,0.6098787766633209,0.0001899042291711,0.5001285187236312,0.9999996231899704,1.570796382427865,1.5705345945279918,0.5,fod2fixel,angle
24,0.0,2.0,2.0,0.74235135,4.546535,0.5,0.7425261010977979,-1.7365959339352526,0.4999099221713456,0.9999997767877842,1.5707962746929796,1.5707600933985808,0.5,fod2fixel,angle
24,1.0,2.0,2.0,1.7211134,3.1415927,0.5,1.4204900467479766,-7.151879862322236e-05,0.5000900778286543,0.999999964090675,1.5707962746929796,1.5707600933985808,0.5,fod2fixel,angle
25,0.0,2.0,2.0,2.4580522,0.6005257,0.5,2.45801566061454,0.6001621065574448,0.5001582941226723,0.99999962161314,1.570796320334134,1.5704035057970291,0.5,fod2fixel,angle
25,1.0,2.0,2.0,2.1624973,3.1415927,0.5,0.9793118230194972,0.0001711381361167,0.4998417058773277,0.9999995309307222,1.570796320334134,1.5704035057970291,0.5,fod2fixel,angle
26,0.0,2.0,2.0,1.1964324,4.0390706,0.5,1.9449942261296065,0.8976364291130032,0.4999565419434965,0.9999996546281604,1.5707962177159343,1.5704514311682969,0.5,fod2fixel,angle
26,1.0,2.0,2.0,2.5793662,3.1415927,0.5,0.5624565331657215,0.0002514166061238,0.5000434580565034,0.9999995037273136,1.5707962177159343,1.5704514311682969,0.5,fod2fixel,angle
27,0.0,2.0,2.0,2.2946296,6.222646,0.5,2.29450832619378,-0.0603978544042283,0.4999662437598646,0.9999998187150748,1.5707963327564671,1.5704070478816692,0.5,fod2fixel,angle
27,1.0,2.0,2.0,2.4168494,3.1415927,0.5,0.7250062461198418,-3.753118624485142e-05,0.5000337562401355,0.9999995115824934,1.5707963327564671,1.5704070478816692,0.5,fod2fixel,angle
28,0.0,2.0,2.0,1.27439,2.0846066,0.5,1.2742703031318707,2.0846268770378025,0.5001619835129036,0.9999998971182557,1.5707963237610103,1.570752663054886,0.5,fod2fixel,angle
28,1.0,2.0,2.0,2.5856075,3.1415927,0.5,0.5562330488067407,0.0001898779773024,0.4998380164870964,0.9999994994732228,1.5707963237610103,1.570752663054886,0.5,fod2fixel,angle
29,0.0,2.0,2.0,0.98659307,1.8093746,0.5,0.986609588302944,1.809227421213284,0.5000327830250202,0.9999998926237608,1.5707963577096022,1.570516994736627,0.5,fod2fixel,angle
29,1.0,2.0,2.0,1.9140633,3.1415927,0.5,1.2274295145063805,0.0001509243260751,0.4999672169749798,0.9999997890565582,1.5707963577096022,1.570516994736627,0.5,fod2fixel,angle
30,0.0,2.0,2.0,1.4585102,1.0881937,0.5,1.458633568046264,1.0880941850312482,0.5001279846121474,0.9999998250026436,1.5707963043544517,1.5709012587200135,0.5,fod2fixel,angle
30,1.0,2.0,2.0,0.23835415,3.1415927,0.5,0.238602436061686,3.140851521983109,0.4998720153878527,0.999999353861028,1.5707963043544517,1.5709012587200135,0.5,fod2fixel,angle
31,0.0,2.0,2.0,0.32938376,4.851798,0.5,0.3293314833783935,-1.4308526931921843,0.4999514891261362,0.999999771622309,1.5707963795309416,1.5705215286259868,0.5,fod2fixel,angle
31,1.0,2.0,2.0,1.5233312,3.1415927,0.5,1.6183268567274398,-0.0005418817277755,0.5000485108738638,0.9999979186113788,1.5707963795309416,1.5705215286259868,0.5,fod2fixel,angle
32,0.0,2.0,2.0,0.95701927,5.900269,0.5,2.184638035374505,2.7585361897934657,0.4996169359353655,0.99999987881233,1.5707963533150042,1.570755599097573,0.5,fod2fixel,angle
32,1.0,2.0,2.0,0.64959425,3.1415927,0.5,2.4918630710366774,0.0004366357116537,0.5003830640646344,0.9999993836394048,1.5707963533150042,1.570755599097573,0.5,fod2fixel,angle
33,0.0,2.0,2.0,1.0977865,2.5776033,0.5,1.0977426408060411,2.577582367342447,0.4999575756565385,0.9999999840665572,1.570796499620788,1.5707521197252132,0.5,fod2fixel,angle
33,1.0,2.0,2.0,2.597111,3.1415927,0.5,0.5445351354820379,0.0001775721516595,0.5000424243434615,0.9999999208213008,1.570796499620788,1.5707521197252132,0.5,fod2fixel,angle
34,0.0,2.0,2.0,0.97361517,4.9652805,0.5,2.168058132030836,1.823571033440264,0.5000118196044687,0.9999998891234408,1.5707961892361786,1.570527125414718,0.5,fod2fixel,angle
34,1.0,2.0,2.0,1.2182256,3.1415927,0.5,1.9234380742250516,0.000139880298889,0.4999881803955312,0.9999998442143246,1.5707961892361786,1.570527125414718,0.5,fod2fixel,angle
35,0.0,2.0,2.0,0.10070517,4.748246,0.5,0.1006008744506668,-1.53381845931089,0.4999354225021691,0.999999835096098,1.5707962474647428,1.5705071564499575,0.5,fod2fixel,angle
35,1.0,2.0,2.0,1.5671738,3.1415927,0.5,1.5742323587759015,5.024832532203789e-05,0.5000645774978308,0.99999973902603,1.5707962474647428,1.5705071564499575,0.5,fod2fixel,angle
36,0.0,2.0,2.0,2.5808752,3.6510367,0.5,0.5607631665788414,0.5096283901317511,0.5001019635715174,0.9999999181496388,1.5707962290919346,1.5707061119215493,0.5,fod2fixel,angle
36,1.0,2.0,2.0,1.0693287,3.1415927,0.5,2.072214554730708,0.0001891683458641,0.4998980364284827,0.9999997904597964,1.5707962290919346,1.5707061119215493,0.5,fod2fixel,angle
37,0.0,2.0,2.0,0.4860088,6.121451,0.5,0.4860582925545856,-0.1617219095511853,0.5001043599984577,0.999999982610109,1.5707963379842314,1.5709111364743178,0.5,fod2fixel,angle
37,1.0,2.0,2.0,1.0901929,3.1415927,0.5,2.051585129482378,-0.0003033874830497,0.4998956400015422,0.999999252574324,1.5707963379842314,1.5709111364743178,0.5,fod2fixel,angle
38,0.0,2.0,2.0,2.340587,4.8256774,0.5,0.8009373151264338,1.6841497328059425,0.4999834945503816,0.9999999519698852,1.5707962160493913,1.5708443761074637,0.5,fod2fixel,angle
38,1.0,2.0,2.0,1.6869031,3.1415927,0.5,1.454721084357419,1.269029890736202e-05,0.5000165054496184,0.9999999919353364,1.5707962160493913,1.5708443761074637,0.5,fod2fixel,angle
39,0.0,2.0,2.0,1.8653806,4.685328,0.5,1.276299430985422,1.5434996543921042,0.4998329798360243,0.9999995903965716,1.5707964422200642,1.5706801051490753,0.5,fod2fixel,angle
39,1.0,2.0,2.0,1.4818531,3.1415927,0.5,1.6596331667503132,-0.0001545981656764,0.5001670201639756,0.999999754640362,1.5707964422200642,1.5706801051490753,0.5,fod2fixel,angle
40,0.0,2.0,2.0,1.0171429,2.2151246,0.5,1.017102107292257,2.215109755075831,0.500234861903607,0.9999999872391534,1.5707964013821631,1.5708684088068021,0.5,fod2fixel,angle
40,1.0,2.0,2.0,2.3418522,3.1415927,0.5,0.7998847953407373,-1.4287653566259544e-05,0.499765138096393,0.999999853438147,1.5707964013821631,1.5708684088068021,0.5,fod2fixel,angle
41,0.0,2.0,2.0,0.7473919,1.1340122,0.5,0.7476386680397189,1.1340656287515127,0.5001413825880889,0.9999995644409394,1.5707963616871192,1.570707382830448,0.5,fod2fixel,angle
41,1.0,2.0,2.0,1.1971749,3.1415927,0.5,1.9444351374671305,1.3402977884508224e-06,0.499858617411911,0.9999999978734436,1.5707963616871192,1.570707382830448,0.5,fod2fixel,angle
42,0.0,2.0,2.0,1.9888775,5.1148095,0.5,1.1527134856282162,1.973470632340134,0.4998771581096083,0.999999623488708,1.5707963563924257,1.5707616234924182,0.5,fod2fixel,angle
42,1.0,2.0,2.0,2.2933211,3.1415927,0.5,0.8481770131752624,0.0002258582250224,0.5001228418903917,0.9999997367165554,1.5707963563924257,1.5707616234924182,0.5,fod2fixel,angle
43,0.0,2.0,2.0,2.1082666,2.3937194,0.5,2.1081606183532893,2.39358284575225,0.5001879437125064,0.999999825015314,1.5707963593712528,1.5707221007795058,0.5,fod2fixel,angle
43,1.0,2.0,2.0,0.68258137,3.1415927,0.5,2.459034033510831,0.0002744053408031,0.4998120562874936,0.999999786786502,1.5707963593712528,1.5707221007795058,0.5,fod2fixel,angle
44,0.0,2.0,2.0,1.4810169,1.5727144,0.5,1.4810141547818363,1.5725851264570043,0.4997273612697719,0.9999998838209556,1.570796440926964,1.570526610670409,0.5,fod2fixel,angle
44,1.0,2.0,2.0,1.5921007,3.1415927,0.5,1.5498447174516785,0.000173237517559,0.5002726387302281,0.9999989189359642,1.570796440926964,1.570526610670409,0.5,fod2fixel,angle
45,0.0,2.0,2.0,1.8083715,1.3807592,0.5,1.8084922012735336,1.3807054018855025,0.4999972010827953,0.9999998789277118,1.5707964767341163,1.570811318813954,0.5,fod2fixel,angle
45,1.0,2.0,2.0,2.233273,3.1415927,0.5,0.9082669566438328,4.854825804759304e-05,0.5000027989172047,0.9999999703632568,1.5707964767341163,1.570811318813954,0.5,fod2fixel,angle
46,0.0,2.0,2.0,0.5095129,4.2590423,0.5,0.5093683257137619,-2.024316165097177,0.4998866846243372,0.999999803787298,1.5707962665222628,1.5708804297308474,0.5,fod2fixel,angle
46,1.0,2.0,2.0,1.8107862,3.1415927,0.5,1.3308245661674662,0.0001515152818634,0.5001133153756627,0.9999998462467348,1.5707962665222628,1.5708804297308474,0.5,fod2fixel,angle
47,0.0,2.0,2.0,0.27159747,4.5512533,0.5,0.2718493387173269,-1.7314936251981512,0.499820144452141,0.9999994590562368,1.5707963542714571,1.5707793775840726,0.5,fod2fixel,angle
47,1.0,2.0,2.0,1.6154456,3.1415927,0.5,1.5261150859959864,0.0003326666474148,0.5001798555478589,0.9999992201339324,1.5707963542714571,1.5707793775840726,0.5,fod2fixel,angle
48,0.0,2.0,2.0,1.2587395,0.20057842,0.5,1.2590462858133138,0.2005930572072216,0.5000701691913402,0.9999993396964444,1.57079637845441,1.5711443159318033,0.5,fod2fixel,angle
48,1.0,2.0,2.0,0.3180231,3.1415927,0.5,0.3180518948154606,-3.141350609203241,0.4999298308086597,0.9999999541184263,1.57079637845441,1.5711443159318033,0.5,fod2fixel,angle
49,0.0,2.0,2.0,1.7937324,2.8079517,0.5,1.3477755583883415,-0.3334945221340623,0.4999404454580171,0.99999980701533,1.570796278191428,1.5708775048496815,0.5,fod2fixel,angle
49,1.0,2.0,2.0,0.23548384,3.1415927,0.5,0.2356388949018653,3.1414890147431267,0.5000595545419828,0.9999998276037056,1.570796278191428,1.5708775048496815,0.5,fod2fixel,angle
50,0.0,2.0,2.0,2.3851058,3.0340152,0.5,0.7563053898992896,-0.1074726582249998,0.4998326496940914,0.9999997333955412,1.5707962420489263,1.5711466096957736,0.5,fod2fixel,angle
50,1.0,2.0,2.0,0.81720304,3.1415927,0.5,2.3245612907349336,7.22723764749943e-05,0.5001673503059085,0.9999997742834624,1.5707962420489263,1.5711466096957736,0.5,fod2fixel,angle
51,0.0,2.0,2.0,2.0722435,5.6978154,0.5,1.0693939676361832,2.5563518007592165,0.4998430179832128,0.999999896349002,1.5707962476195816,1.5709578105391768,0.5,fod2fixel,angle
51,1.0,2.0,2.0,2.5598361,3.1415927,0.5,0.5817912143229611,-0.0002035483920737,0.5001569820167872,0.9999999039164076,1.5707962476195816,1.5709578105391768,0.5,fod2fixel,angle
52,0.0,2.0,2.0,2.2147439,4.376401,0.5,0.926825186322205,1.2347092838772795,0.4999618553887384,0.9999999522091856,1.5707965751551485,1.5704360477037702,0.5,fod2fixel,angle
52,1.0,2.0,2.0,1.1569644,3.1415927,0.5,1.9844407020756647,0.000261756190574,0.5000381446112616,0.9999993520024136,1.5707965751551485,1.5704360477037702,0.5,fod2fixel,angle
53,0.0,2.0,2.0,1.0391675,0.8914769,0.5,1.0393249444942905,0.8915897823738402,0.4998361385941512,0.9999997602836972,1.5707963373175662,1.5706535267692627,0.5,fod2fixel,angle
53,1.0,2.0,2.0,0.7523967,3.1415927,0.5,2.389271872548454,0.0002564116657686,0.5001638614058488,0.9999997448781152,1.5707963373175662,1.5706535267692627,0.5,fod2fixel,angle
54,0.0,2.0,2.0,1.1601189,2.235971,0.5,1.159959923050545,2.2359297626601986,0.4999875392033043,0.9999998130078152,1.5707964079692713,1.570428787658411,0.5,fod2fixel,angle
54,1.0,2.0,2.0,2.52718,3.1415927,0.5,0.6142420914991918,0.0002177133885144,0.5000124607966957,0.9999996861068936,1.5707964079692713,1.570428787658411,0.5,fod2fixel,angle
55,0.0,2.0,2.0,1.9188174,0.43694118,0.5,1.918853542738692,0.4368912926704367,0.4999925343952852,0.9999999754636476,1.5707964058731827,1.5706502273975136,0.5,fod2fixel,angle
55,1.0,2.0,2.0,2.7607367,3.1415927,0.5,0.3809441145904175,0.0006323898919853,0.5000074656047148,0.99999955880867,1.5707964058731827,1.5706502273975136,0.5,fod2fixel,angle
56,0.0,2.0,2.0,0.06427836,2.0880747,0.5,0.064976240406301,2.084524914385347,0.4999268929703133,0.9999962228276088,1.5707963912661957,1.5710853107412968,0.5,fod2fixel,angle
56,1.0,2.0,2.0,1.6026162,3.1415927,0.5,1.5391267582514914,0.0001103317912775,0.5000731070296867,0.9999997568876656,1.5707963912661957,1.5710853107412968,0.5,fod2fixel,angle
57,0.0,2.0,2.0,1.9467078,1.7455771,0.5,1.946802381178025,1.745831509941388,0.4997769439175768,0.9999995454381234,1.570796333963317,1.5711935092676348,0.5,fod2fixel,angle
57,1.0,2.0,2.0,1.1557946,3.1415927,0.5,1.9858998556379075,-0.0003170913117883,0.5002230560824232,0.9999993377151142,1.570796333963317,1.5711935092676348,0.5,fod2fixel,angle
58,0.0,2.0,2.0,1.6397811,4.8884864,0.5,1.5019775028672036,1.7470285300928017,0.4999468209788481,0.9999996805941264,1.5707964417305418,1.5709771003025508,0.5,fod2fixel,angle
58,1.0,2.0,2.0,2.7659225,3.1415927,0.5,0.3757644783788965,0.0001120847784382,0.5000531790211519,0.9999999258362308,1.5707964417305418,1.5709771003025508,0.5,fod2fixel,angle
59,0.0,2.0,2.0,1.1607242,1.7914284,0.5,1.1606846237394663,1.79129685613097,0.5000480811993803,0.9999998871113848,1.5707963168089836,1.5706009738785103,0.5,fod2fixel,angle
59,1.0,2.0,2.0,2.0371783,3.1415927,0.5,1.104399388306894,8.028823999835375e-05,0.4999519188006198,0.9999999625064692,1.5707963168089836,1.5706009738785103,0.5,fod2fixel,angle
60,0.0,2.0,2.0,0.8067462,5.207329,0.5,2.334901412818281,2.0657168572503704,0.5000344921278765,0.9999999775108016,1.570796328900772,1.5708292726100797,0.5,fod2fixel,angle
60,1.0,2.0,2.0,1.1105913,3.1415927,0.5,2.030911181137743,-1.4378268738868376e-05,0.4999655078721234,0.9999999418969736,1.570796328900772,1.5708292726100797,0.5,fod2fixel,angle
61,0.0,2.0,2.0,0.7152081,1.5423992,0.5,0.714951790172464,1.5423571764252364,0.500092048685296,0.9999995347831852,1.5707963730472754,1.5707265408975326,0.5,fod2fixel,angle
61,1.0,2.0,2.0,1.5461382,3.1415927,0.5,1.5954588179856246,8.42187433169076e-05,0.499907951314704,0.9999999503522218,1.5707963730472754,1.5707265408975326,0.5,fod2fixel,angle
62,0.0,2.0,2.0,1.3464745,1.3207104,0.5,1.3464630214133018,1.3206257916913229,0.499903190723402,0.999999951419632,1.5707963593670264,1.5709001659849129,0.5,fod2fixel,angle
62,1.0,2.0,2.0,0.7447909,3.1415927,0.5,2.3968226579594045,-0.0002225577345859,0.500096809276598,0.9999998375182996,1.5707963593670264,1.5709001659849129,0.5,fod2fixel,angle
63,0.0,2.0,2.0,0.94083464,3.4804533,0.5,2.2006044338474,0.3388183227607095,0.4998164767425283,0.9999998267260172,1.5707962462845664,1.5706442967570096,0.5,fod2fixel,angle
63,1.0,2.0,2.0,2.4835243,3.1415927,0.5,0.658101094534505,-0.0002245793821003,0.5001835232574716,0.9999998603214656,1.5707962462845664,1.5706442967570096,0.5,fod2fixel,angle
64,0.0,2.0,2.0,1.7977962,1.8793297,0.5,1.797927238383933,1.8793426104047544,0.4998848947400545,0.9999998787823734,1.5707963232176594,1.5709299658770308,0.5,fod2fixel,angle
64,1.0,2.0,2.0,0.65028405,3.1415927,0.5,2.4912338489303725,-0.0003658158262035,0.5001151052599455,0.9999996173452304,1.5707963232176594,1.5709299658770308,0.5,fod2fixel,angle
65,0.0,2.0,2.0,1.051993,2.5901816,0.5,1.051756057456167,2.5900809605575583,0.4998319887595461,0.9999995535180556,1.5707964218461006,1.5704155893235654,0.5,fod2fixel,angle
65,1.0,2.0,2.0,2.5510614,3.1415927,0.5,0.5903846913560595,-7.861089306447018e-06,0.5001680112404538,0.999999849482744,1.5707964218461006,1.5704155893235654,0.5,fod2fixel,angle
66,0.0,2.0,2.0,1.1823384,3.9929419,0.5,1.9591782548282648,0.8512888653401411,0.4999647632415445,0.9999999376945696,1.5707961977081561,1.5705619342226693,0.5,fod2fixel,angle
66,1.0,2.0,2.0,2.5858378,3.1415927,0.5,0.5558256444266755,0.0002492041790265,0.5000352367584555,0.9999998439488936,1.5707961977081561,1.5705619342226693,0.5,fod2fixel,angle
67,0.0,2.0,2.0,0.24531743,4.5608196,0.5,0.2453402639484279,-1.722425162344236,0.5001901328807675,0.9999999948891491,1.5707963015481312,1.5708472991997129,0.5,fod2fixel,angle
67,1.0,2.0,2.0,1.6085801,3.1415927,0.5,1.5330078957227973,0.0001569792798299,0.4998098671192325,0.9999998277894656,1.5707963015481312,1.5708472991997129,0.5,fod2fixel,angle
68,0.0,2.0,2.0,2.3761418,0.94535875,0.5,2.3757803031106253,0.945374486020395,0.4998762613203259,0.9999990844761072,1.5707964196706086,1.5704886165118863,0.5,fod2fixel,angle
68,1.0,2.0,2.0,2.0832233,3.1415927,0.5,1.0584091204455277,5.440319706378343e-05,0.5001237386796741,0.9999999732188692,1.5707964196706086,1.5704886165118863,0.5,fod2fixel,angle
69,0.0,2.0,2.0,2.3470771,1.5413883,0.5,0.7944632333036836,-1.6000112330303031,0.4998272892163186,0.9999998479164544,1.5707963524929158,1.5707542402446741,0.5,fod2fixel,angle
69,1.0,2.0,2.0,1.6007323,3.1415927,0.5,1.5409360348858474,6.275096248024906e-05,0.5001727107836814,0.9999999324158296,1.5707963524929158,1.5707542402446741,0.5,fod2fixel,angle
70,0.0,2.0,2.0,0.91079664,4.6696916,0.5,0.9104088009930056,-1.613599321519224,0.5001648725008797,0.9999988983740744,1.5707964408228783,1.5708025724072823,0.5,fod2fixel,angle
